127.0.0.1 - - [26/Jan/2023:09:22:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 9233
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/search2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/play-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/play-button2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/test.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/check2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/play2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/bell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:46 +0900] "GET /JSP_Gall/jsp/image/digital1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:22:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:24:37 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=3 HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:24:37 +0900] "GET /JSP_Gall/jsp/image/x1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:24:37 +0900] "GET /JSP_Gall/jsp/image/pencil2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:24:37 +0900] "GET /JSP_Gall/jsp/image/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:25:01 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=19 HTTP/1.1" 200 9420
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:25:01 +0900] "GET /JSP_Gall/jsp/image/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:25:01 +0900] "GET /JSP_Gall/jsp/image/down-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:27:42 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=19 HTTP/1.1" 200 9424
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:27:53 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=19 HTTP/1.1" 200 9420
0:0:0:0:0:0:0:1 - - [26/Jan/2023:09:30:35 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=19 HTTP/1.1" 200 9450
