127.0.0.1 - - [12/Dec/2022:13:44:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:44:06 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:44:06 +0900] "GET /html/mybgm.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:44:06 +0900] "GET /html/test1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:44:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:46:18 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:46:25 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:46:32 +0900] "GET /html/formPractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:47:22 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:51:03 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:51:04 +0900] "GET /html/formPractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:51:18 +0900] "GET /html/formPractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:52:43 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:52:59 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:54:49 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:55:24 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:55:44 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:56:32 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:57:28 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:57:30 +0900] "GET /html/formPractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:57:37 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [12/Dec/2022:13:57:59 +0900] "GET /html/formPractice.html HTTP/1.1" 200 2670
