127.0.0.1 - - [14/Feb/2023:09:34:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:47 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 13520
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:47 +0900] "GET /JSP_Gall/jsp/image/search2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:47 +0900] "GET /JSP_Gall/jsp/image/x1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/switch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/close2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/play-button2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/play-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/test.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:09:34:48 +0900] "GET /JSP_Gall/jsp/image/check2.png HTTP/1.1" 304 -
