127.0.0.1 - - [16/Dec/2022:09:39:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:39:11 +0900] "GET /jsp_DB/main.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:39:11 +0900] "GET /jsp_DB/japan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:39:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:39:13 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:40:01 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:40:04 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:40:06 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:49:28 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [16/Dec/2022:09:49:30 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:02:31 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:02:39 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:02:53 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:02:56 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:03:41 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:03:42 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:03:58 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:04:00 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:08:17 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:09:02 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:09:24 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:10:31 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:10:37 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:10:43 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:11:42 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:12:03 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:12:17 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:15:46 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:10:15:56 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:07:02 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:07:06 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:07:14 +0900] "GET /jsp_DB/joinForm.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [16/Dec/2022:14:21:36 +0900] "POST /jsp_DB/checkID.jsp HTTP/1.1" 200 185
