127.0.0.1 - - [08/Feb/2023:12:10:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 13205
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/image/search2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/image/close2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/image/switch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /JSP_Gall/jsp/image/play2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:23 +0900] "GET /JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 8278
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:23 +0900] "GET /JSP_Gall/jsp/image/question-mark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:32 +0900] "GET /JSP_Gall/jsp/loginForm.jsp?url=http://localhost:9010/JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:37 +0900] "POST /JSP_Gall/jsp/checkID.jsp?url=http://localhost:9010/JSP_Gall/jsp/minor.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:37 +0900] "GET /JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 8381
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:37 +0900] "GET /JSP_Gall/jsp/image/right-arrow3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:10:42 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:36:09 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:37:42 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:40:37 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6006
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:42:18 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6058
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:44:50 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [08/Feb/2023:12:45:10 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:20 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 13205
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:21 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=1 HTTP/1.1" 200 11377
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:21 +0900] "GET /JSP_Gall/jsp/image/pencil2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:21 +0900] "GET /JSP_Gall/jsp/image/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:21 +0900] "GET /JSP_Gall/jsp/image/fix_nik.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:25 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=1 HTTP/1.1" 200 11377
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:32 +0900] "GET /JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 8488
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:37 +0900] "GET /JSP_Gall/jsp/loginForm.jsp?url=http://localhost:9010/JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:38 +0900] "POST /JSP_Gall/jsp/checkID.jsp?url=http://localhost:9010/JSP_Gall/jsp/minor.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:38 +0900] "GET /JSP_Gall/jsp/minor.jsp HTTP/1.1" 200 8591
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:59:40 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:01:17 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6375
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:02:09 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6399
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:03:37 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6447
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:03:59 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:05:38 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6495
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:06:21 +0900] "GET /JSP_Gall/jsp/createMinor.jsp HTTP/1.1" 200 6498
