127.0.0.1 - - [06/Feb/2023:09:20:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:20:26 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 500 2618
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:20:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:21:40 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 500 2618
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12695
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/search2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/x1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/close2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/switch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/play-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/play-button2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/test.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/check2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/check.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/play2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/bell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /JSP_Gall/jsp/image/digital1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:16 +0900] "GET /JSP_Gall/jsp/search.jsp?word=1&save=null HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:24:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12695
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:26:58 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12691
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:04 +0900] "GET /JSP_Gall/jsp/search.jsp?word=2&save=on HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:07 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:12 +0900] "GET /JSP_Gall/jsp/search.jsp?word=%E3%85%8F&save=on HTTP/1.1" 200 5747
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:13 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:18 +0900] "GET /JSP_Gall/jsp/delSearch.jsp?idx=30 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:18 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:26 +0900] "GET /JSP_Gall/jsp/image/switch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:26 +0900] "GET /JSP_Gall/jsp/searchSave.jsp?save=off HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:32 +0900] "GET /JSP_Gall/jsp/search.jsp?word=6&save=off HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:36 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:49 +0900] "GET /JSP_Gall/jsp/search.jsp?word=l&save=off HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:27:51 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:03 +0900] "GET /JSP_Gall/jsp/searchSave.jsp?save=on HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:07 +0900] "GET /JSP_Gall/jsp/search.jsp?word=n&save=off HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:10 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:45 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 12741
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:50 +0900] "GET /JSP_Gall/jsp/search.jsp?word=44&save=on HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:28:59 +0900] "GET /JSP_Gall/jsp/search.jsp?word=5&save=on HTTP/1.1" 200 5938
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:29:05 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 13025
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:29:15 +0900] "GET /JSP_Gall/jsp/search.jsp?word=44&save=on HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [06/Feb/2023:09:29:16 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 13025
