127.0.0.1 - - [27/Jan/2023:09:16:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:05 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 9570
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:05 +0900] "GET /JSP_Gall/jsp/image/drop-down-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:05 +0900] "GET /JSP_Gall/jsp/image/search2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:05 +0900] "GET /JSP_Gall/jsp/image/play2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:28 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=3 HTTP/1.1" 200 7415
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:28 +0900] "GET /JSP_Gall/jsp/image/pencil2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:28 +0900] "GET /JSP_Gall/jsp/image/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:28 +0900] "GET /JSP_Gall/jsp/image/fix_nik.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:31 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=12 HTTP/1.1" 200 11694
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:31 +0900] "GET /JSP_Gall/jsp/image/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:31 +0900] "GET /JSP_Gall/jsp/image/down-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:16:31 +0900] "GET /JSP_Gall/jsp/image/arrow-up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:17:02 +0900] "GET /JSP_Gall/jsp/reco.jsp?reco=re&idx=3&p_idx=12 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jan/2023:09:17:02 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=3&p_idx=12 HTTP/1.1" 200 11694
