127.0.0.1 - - [22/Dec/2022:13:58:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Dec/2022:13:58:58 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Dec/2022:13:58:58 +0900] "GET /html/image/digital.png HTTP/1.1" 200 20369
0:0:0:0:0:0:0:1 - - [22/Dec/2022:13:58:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:01:04 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:01:04 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:02:35 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:02:35 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:02:50 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:02:51 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:01 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:01 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:26 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:48 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:49 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:03:50 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:04:01 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:04:56 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:04:56 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:05:06 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:05:22 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:01 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:01 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:03 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:03 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:03 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:03 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:04 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:05 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:07 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:16 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:07:44 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:16 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:16 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:29 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:30 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:30 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2022:14:08:30 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
