127.0.0.1 - - [02/Jan/2023:13:48:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:14 +0900] "GET /html/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:14 +0900] "GET /html/programmer.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:14 +0900] "GET /html/marker.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:34 +0900] "GET /html/webPagePractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:48:34 +0900] "GET /html/image/marker.png HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:16 +0900] "GET /html/formPractice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:16 +0900] "GET /html/test1.mp4 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:16 +0900] "GET /html/mybgm.mp3 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/header_right_button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/mainimage01.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item07.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/class_tab_item08.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/footer_sns01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/footer_sns02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/footer_sns03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:52:55 +0900] "GET /html/image/footer_sns04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:28 +0900] "GET /html/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image6.jpg HTTP/1.1" 200 5905
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image1.jpg HTTP/1.1" 200 10083
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image2.jpg HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image8.jpg HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image10.jpg HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image4.jpg HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image5.jpg HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image7.jpg HTTP/1.1" 200 9758
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image9.jpg HTTP/1.1" 200 17817
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/japan.jpg HTTP/1.1" 200 604888
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image1.gif HTTP/1.1" 200 1027388
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image3.gif HTTP/1.1" 200 963746
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image2.gif HTTP/1.1" 200 1013576
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image4.gif HTTP/1.1" 200 906047
0:0:0:0:0:0:0:1 - - [02/Jan/2023:13:53:29 +0900] "GET /html/image/image5.gif HTTP/1.1" 200 1020624
0:0:0:0:0:0:0:1 - - [02/Jan/2023:14:03:20 +0900] "GET /html/test/background.html HTTP/1.1" 200 208
