127.0.0.1 - - [26/Dec/2022:13:26:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/header_right_button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/mainimage01.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item08.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/class_tab_item07.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/footer_sns01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/footer_sns02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/footer_sns03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:45 +0900] "GET /html/image/footer_sns04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:26:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:40:40 +0900] "GET /html/test.html HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:40:40 +0900] "GET /html/image/logo.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:41:47 +0900] "GET /html/test.html HTTP/1.1" 200 6652
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:44:34 +0900] "GET /html/test.html HTTP/1.1" 200 6633
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:45:22 +0900] "GET /html/test.html HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:45:32 +0900] "GET /html/test.html HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:45:47 +0900] "GET /html/test.html HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [26/Dec/2022:13:46:27 +0900] "GET /html/test.html HTTP/1.1" 304 -
