0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:08 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:12 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=1&p_idx=10 HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:13 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:19 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:22 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:11:22 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5736
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:18:57 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:18:57 +0900] "GET /JSP_Gall/jsp/image/right-arraw2.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:19:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:19:27 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 200 10948
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:23:51 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:23:52 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:26 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:26 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:24:40 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5861
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:19 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5897
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:19 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:26:55 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:41 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:41 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:27:52 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5954
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:28:10 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:04 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6058
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:05 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:32:37 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:01 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6162
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:01 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:34:42 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:35:41 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:35:41 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:36:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:36:23 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:27 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:27 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:37:55 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6523
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:39:10 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:39:38 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6572
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:39:38 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:40:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:42:14 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6610
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:42:14 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:43:09 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6658
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:43:48 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:45:03 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:45:03 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:45:12 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:46:14 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6753
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:47:44 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:47:44 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:48:08 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:48:21 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:48:29 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6816
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:49:34 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6866
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:51:08 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6920
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:51:08 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:58:41 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:58:41 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:10:59:32 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:01:05 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:02:05 +0900] "GET /JSP_Gall/jsp/logout.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:02 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:02 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:04 +0900] "GET /JSP_Gall/jsp/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:04 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 6914
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:14 +0900] "POST /JSP_Gall/jsp/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:14 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:35 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=2 HTTP/1.1" 200 5930
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:35 +0900] "GET /JSP_Gall/jsp/image/x1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:35 +0900] "GET /JSP_Gall/jsp/image/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:03:42 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:04:47 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=20 HTTP/1.1" 500 2737
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:04:59 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=2 HTTP/1.1" 200 5930
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:05:00 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:21:29 +0900] "GET /JSP_Gall/jsp/main.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:21:29 +0900] "GET /JSP_Gall/jsp/image/right-arrow2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:21:31 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=2 HTTP/1.1" 200 5930
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:21:32 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:22:02 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7469
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:22:13 +0900] "POST /JSP_Gall/jsp/addReply.jsp HTTP/1.1" 500 2562
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:24:16 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=2 HTTP/1.1" 200 5930
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:24:18 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=20 HTTP/1.1" 200 7513
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:24:22 +0900] "POST /JSP_Gall/jsp/addReply.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:24:45 +0900] "POST /JSP_Gall/jsp/addReply.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:24:45 +0900] "GET /JSP_Gall/jsp/result.jsp HTTP/1.1" 500 2650
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:48 +0900] "GET /JSP_Gall/jsp/gallMain.jsp?idx=2 HTTP/1.1" 200 5930
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:51 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:58 +0900] "POST /JSP_Gall/jsp/addReply.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:58 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:27:58 +0900] "GET /JSP_Gall/jsp/image/x2.png HTTP/1.1" 200 8350
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:32:57 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8041
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:33:57 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8049
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:36:25 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8049
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:41:52 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:42:44 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:43:17 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:44:18 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 8004
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:45:58 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:50:58 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:03:44 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7787
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:05:33 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:05:47 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7789
