127.0.0.1 - - [19/Jan/2023:09:55:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2023:09:55:16 +0900] "GET /JSP_Mall/jsp/home.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [19/Jan/2023:09:55:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2023:09:59:55 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:00:15 +0900] "GET /JSP_Mall/jsp/contentForm.jsp?idx=1 HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:00:40 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:00:41 +0900] "GET /JSP_Mall/jsp/contentForm.jsp?idx=1 HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:01:34 +0900] "GET /JSP_Mall/jsp/contentForm.jsp?idx=1 HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:02:49 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:03:09 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:03:31 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:03:54 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:05:00 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:05:08 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:05:31 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:06:10 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:06:38 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:07:05 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:10:12 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:10:32 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:10:45 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:11:39 +0900] "GET /JSP_Mall/jsp/noticeForm.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:12:14 +0900] "GET /JSP_Mall/jsp/loginForm.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:12:21 +0900] "POST /JSP_Mall/jsp/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:12:21 +0900] "GET /JSP_Mall/jsp/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:12:26 +0900] "GET /JSP_Mall/jsp/cartForm.jsp HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:12:29 +0900] "GET /JSP_Mall/jsp/orderList.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:31:17 +0900] "GET /JSTL/test.jsp HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:31:26 +0900] "GET /JSTL/test.jsp?num1=3&num2=4 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:34:39 +0900] "GET /JSTL/test.jsp HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:34:49 +0900] "GET /JSTL/test.jsp?num=2 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:34:52 +0900] "GET /JSTL/test.jsp?num=1 HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [19/Jan/2023:10:34:57 +0900] "GET /JSTL/test.jsp?num=0 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:19:06 +0900] "GET /JSTL/test.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:19:35 +0900] "GET /JSTL/test.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:19:47 +0900] "GET /JSTL/test.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:22:25 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:23:34 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:25:59 +0900] "GET /JSTL/test.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:29:22 +0900] "GET /JSTL/test.jsp HTTP/1.1" 500 2640
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:29:57 +0900] "GET /JSTL/test.jsp?n1=4&n2=4 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:30:01 +0900] "GET /JSTL/test.jsp?n1=4&n2=0 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:08 +0900] "GET /JSTL/test.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:16 +0900] "GET /JSTL/test.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:16 +0900] "GET /JSTL/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/test.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2023:14:31:32 +0900] "GET /JSTL/ProductInfoView.jsp HTTP/1.1" 302 -
