127.0.0.1 - - [28/Dec/2022:13:46:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/digital1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/banner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/mainimage01.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/banner4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/banner3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/digital.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item07.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:04 +0900] "GET /html/image/class_tab_item08.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/KoreaDigital.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/image/header_right_button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/image/footer_sns01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/image/footer_sns02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/image/footer_sns03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:46:38 +0900] "GET /html/image/footer_sns04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:49:35 +0900] "GET /html/test.html HTTP/1.1" 200 8119
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:51:47 +0900] "GET /html/test.html HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:53:32 +0900] "GET /html/test.html HTTP/1.1" 200 8003
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:54:13 +0900] "GET /html/test.html HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:54:27 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:54:48 +0900] "GET /html/test.html HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:55:38 +0900] "GET /html/test.html HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:55:50 +0900] "GET /html/test.html HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:56:06 +0900] "GET /html/test.html HTTP/1.1" 200 8037
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:56:53 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:56:55 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:56:55 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:56:55 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:57:08 +0900] "GET /html/test.html HTTP/1.1" 200 8041
0:0:0:0:0:0:0:1 - - [28/Dec/2022:13:57:37 +0900] "GET /html/test.html HTTP/1.1" 200 8037
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:00:43 +0900] "GET /html/test.html HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:01:03 +0900] "GET /html/test.html HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:01:10 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:01:14 +0900] "GET /html/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:01:17 +0900] "GET /html/test.html HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:01:25 +0900] "GET /html/test.html HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:03:25 +0900] "GET /html/test.html HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:04:07 +0900] "GET /html/test.html HTTP/1.1" 200 8071
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:05:07 +0900] "GET /html/test.html HTTP/1.1" 200 8142
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:05:32 +0900] "GET /html/test.html HTTP/1.1" 200 8146
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:09:37 +0900] "GET /jsp_DB/main.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:09:39 +0900] "GET /jsp_DB/loginForm.jsp HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:09:50 +0900] "POST /jsp_DB/checkID.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:09:50 +0900] "GET /jsp_DB/loginSucc.jsp HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:18:38 +0900] "GET /jsp_DB/loginSucc.jsp HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:18:43 +0900] "GET /jsp_DB/write.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:18:49 +0900] "POST /jsp_DB/upload.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:18:49 +0900] "GET /jsp_DB/loginSucc.jsp HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:32:42 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:33:27 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:33:51 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:33:52 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:35:15 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [28/Dec/2022:14:36:32 +0900] "GET /jsp_DB/result.jsp?idx=9 HTTP/1.1" 200 2972
