127.0.0.1 - - [15/Dec/2022:10:39:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:39:42 +0900] "GET /html/animeTest.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:39:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:40:06 +0900] "GET /html/animeTest.html HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:40:12 +0900] "GET /html/animeTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:43:12 +0900] "GET /html/animeTest.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:43:46 +0900] "GET /html/animeTest.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:44:08 +0900] "GET /html/animeTest.html HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:44:14 +0900] "GET /html/animeTest.html HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:44:27 +0900] "GET /html/animeTest.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:44:37 +0900] "GET /html/animeTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:44:42 +0900] "GET /html/animeTest.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:45:22 +0900] "GET /html/animeTest.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:45:38 +0900] "GET /html/animeTest.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:45:59 +0900] "GET /html/animeTest.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:47:38 +0900] "GET /html/animeTest.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:48:15 +0900] "GET /html/animeTest.html HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [15/Dec/2022:10:49:09 +0900] "GET /html/animeTest.html HTTP/1.1" 200 342
